Construct	RawFACS	NormFACS	RawDNA	NormDNA	RawRNA	NormRNA	TxnLevl	YFP2mCherry	NonZeroBins	TotalFacsReads
YNR027W|Spar_14;651334;651401|651380,AAG	3;4;0;22;741;1423;201;2;0;865;2793	1.680;2.002;0.000;15.994;529.065;845.677;115.406;1.197;0.000	865	44.451	2793	287.352	6.464	0.708	7	1511.021
YDR441C|chrIV;1345211;1345062|1345129,1345114,AAG,CGACGA	705;1070;0;0;0;1;1;0;1;1083;264	394.786;535.567;0.000;0.000;0.000;0.594;0.574;0.000;0.681	1083	55.653	264	27.161	0.488	0.059	5	932.202
YKL191W|chrXI;81004;81034|WT	0;0;0;0;0;0;24;1;7;11;0	0.000;0.000;0.000;0.000;0.000;0.000;13.780;0.598;4.769	11	0.565	0	0.000	0.000	0.912	3	19.147
YLR011W|chrXII;169025;169102|WT	6;5;4;136;1540;1346;1447;2;1;1890;117	3.360;2.503;4.000;98.873;1099.541;799.917;830.810;1.197;0.681	1890	97.124	117	12.037	0.124	0.729	9	2840.882
YDR095C|chrIV;636567;636527|WT	0;1;61;43;3;0;0;0;0;65;14	0.000;0.501;61.000;31.261;2.142;0.000;0.000;0.000;0.000	65	3.340	14	1.440	0.431	0.351	4	94.904
YLR427W|Spar_12;933578;933673|933605,AAG	4;2;943;280;1;0;3;0;0;1206;2	2.240;1.001;943.000;203.563;0.714;0.000;1.722;0.000;0.000	1206	61.974	2	0.206	0.003	0.318	6	1152.24
YLL058W|Spar_12;11189;11252|WT	1;164;0;1;0;2;0;1;0;78;115	0.560;82.087;0.000;0.727;0.000;1.189;0.000;0.598;0.000	78	4.008	115	11.832	2.952	0.115	5	85.161
YLR300W|chrXII;728856;728954|728892,728913,AAG,CGACGA	3316;189;1;0;2;1;2;0;1;1182;654	1856.896;94.600;1.000;0.000;1.428;0.594;1.148;0.000;0.681	1182	60.741	654	67.285	1.108	0.021	7	1956.347
YGL252C|Spar_7;29660;29598|WT	3;0;0;0;1;75;492;711;915;518;1013	1.680;0.000;0.000;0.000;0.714;44.572;282.487;425.388;623.400	518	26.619	1013	104.220	3.915	0.955	6	1378.241
YOR353C|chrXV;1000992;1000828|1000886,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YBR273C|Spar_2;729293;729262|WT	0;0;0;10;39;25;25;4;0;59;0	0.000;0.000;0.000;7.270;27.846;14.857;14.354;2.393;0.000	59	3.032	0	0.000	0.000	0.706	5	66.72
YDR333C|Spar_4;1173582;1173533|WT	0;0;0;0;0;0;0;331;213;148;245	0.000;0.000;0.000;0.000;0.000;0.000;0.000;198.036;145.119	148	7.605	245	25.206	3.314	0.983	2	343.155
YOR027W|chrXV;381002;381052|WT	1;0;0;0;49;113;69;66;36;89;0	0.560;0.000;0.000;0.000;34.985;67.155;39.617;39.488;24.527	89	4.574	0	0.000	0.000	0.819	6	206.332
YIL001W|chrIX;353880;353939|WT	0;226;7;15;0;0;0;0;1;82;0	0.000;113.120;7.000;10.905;0.000;0.000;0.000;0.000;0.681	82	4.214	0	0.000	0.000	0.136	4	131.706
YDR377W|chrIV;1228515;1228610|WT	4;2;5;2;160;1043;1823;945;300;754;521	2.240;1.001;5.000;1.454;114.238;619.846;1046.694;565.389;204.393	754	38.747	521	53.602	1.383	0.859	9	2560.255
YLL011W|chrXII;127511;127522|WT	0;0;0;0;1;3;17;0;0;3;0	0.000;0.000;0.000;0.000;0.714;1.783;9.761;0.000;0.000	3	0.154	0	0.000	0.000	0.837	3	12.258
YKL028W|Spar_11;399105;399147|WT	2;0;0;0;0;2;172;83;59;69;124	1.120;0.000;0.000;0.000;0.000;1.189;98.756;49.659;40.197	69	3.546	124	12.757	3.598	0.917	5	190.921
YPL146C|chrXVI;277581;277529|277548,277515,AAG,CGACGA	0;0;0;0;0;243;73;5;3;80;0	0.000;0.000;0.000;0.000;0.000;144.413;41.914;2.991;2.044	80	4.111	0	0.000	0.000	0.771	4	191.362
YLR210W|Spar_12;527155;527244|WT	2;3;1102;2096;655;2;3;3;0;2077;3165	1.120;1.502;1102.000;1523.814;467.662;1.189;1.722;1.795;0.000	2077	106.733	3165	325.624	3.051	0.422	8	3100.804
YDR074W|chrIV;593798;593892|593866,593893,AAG	22;314;815;10761;6964;825;872;192;3;9744;12650	12.320;157.167;815.000;7823.361;4972.210;490.291;500.668;114.873;2.044	9744	500.726	12650	1301.467	2.599	0.529	9	14887.934
YDL164C|Spar_4;171627;171582|WT	0;39;95;0;46;0;0;0;0;121;135	0.000;19.521;95.000;0.000;32.843;0.000;0.000;0.000;0.000	121	6.218	135	13.889	2.234	0.341	3	147.364
YJR030C|chrX;486262;486196|486238,486214,AAG	1;1133;315;33;0;71;3;22;0;878;956	0.560;567.101;315.000;23.991;0.000;42.195;1.722;13.163;0.000	878	45.119	956	98.356	2.180	0.205	7	963.732
YIL095W|chrIX;183797;183936|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YNR032W|chrXIV;685904;686009|WT	14;33;4;8;1667;4337;8876;3022;1043;5458;283	7.840;16.518;4.000;5.816;1190.217;2577.443;5096.245;1808.049;710.608	5458	280.477	283	29.116	0.104	0.840	9	11416.736
YFL033C|Spar_6;107853;107728|WT	0;2;119;830;0;2;2;1;1;970;620	0.000;1.001;119.000;603.419;0.000;1.189;1.148;0.598;0.681	970	49.847	620	63.787	1.280	0.426	7	727.036
YPR002W|Spar_16;577490;577621|577542,AAG	238;150;0;0;1;0;2;2;0;795;0	133.275;75.080;0.000;0.000;0.714;0.000;1.148;1.197;0.000	795	40.854	0	0.000	0.000	0.060	5	211.414
YOR016C|chrXV;361222;361084|361130,361084,WT,CGACGA	2;2;279;685;581;14;77;0;1;1724;330	1.120;1.001;279.000;498.002;414.827;8.320;44.210;0.000;0.681	1724	88.593	330	33.951	0.383	0.495	8	1247.161
YOR113W|Spar_15;521436;521515|WT	4;1;21;680;389;161;29;1;2;1057;115	2.240;0.501;21.000;494.367;277.741;95.681;16.651;0.598;1.363	1057	54.317	115	11.832	0.218	0.542	9	910.142
YOR342C|Spar_15;909509;909395|WT	13;100;818;3780;567;5;4;2;1;3294;0	7.280;50.053;818.000;2748.100;404.831;2.971;2.297;1.197;0.681	3294	169.273	0	0.000	0.000	0.432	9	4035.41
YGL250W|Spar_7;33998;34025|WT	0;0;0;0;0;21;0;8;0;10;0	0.000;0.000;0.000;0.000;0.000;12.480;0.000;4.786;0.000	10	0.514	0	0.000	0.000	0.798	2	17.266
YDL033C|Spar_4;402654;402598|402641,AAG	1;2;0;0;29;792;593;201;91;322;746	0.560;1.001;0.000;0.000;20.706;470.679;340.477;120.257;61.999	322	16.547	746	76.751	4.638	0.821	7	1015.679
YDL105W|chrIV;272376;272388|WT	0;0;0;0;0;0;14;2;0;9;4	0.000;0.000;0.000;0.000;0.000;0.000;8.038;1.197;0.000	9	0.462	4	0.412	0.892	0.894	2	9.235
YHR143W-A|Spar_8;366081;366090|WT	0;0;0;0;0;0;0;13;0;8;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;7.778;0.000	8	0.411	0	0.000	0.000	0.971	1	7.778
YAR002C-A|chrI;154740;154724|WT	8;0;1;0;0;0;7;10;2;21;12	4.480;0.000;1.000;0.000;0.000;0.000;4.019;5.983;1.363	21	1.079	12	1.235	1.145	0.643	5	16.845
YHR077C|Spar_8;231862;231785|WT	49;1410;91;2;0;1;1459;1;0;703;331	27.439;705.748;91.000;1.454;0.000;0.594;837.700;0.598;0.000	703	36.126	331	34.054	0.943	0.495	7	1664.533
YER088C|Spar_5;345885;345796|WT	18;122;1669;7533;1817;536;121;1;1;6837;0	10.080;61.065;1669.000;5476.571;1297.316;318.540;69.473;0.598;0.681	6837	351.341	0	0.000	0.000	0.458	9	8903.324
YOL051W|Spar_15;221464;221572|221504,AAG	838;32;30;147;17;347;9435;15078;19567;12318;2524	469.264;16.017;30.000;106.871;12.138;206.219;5417.201;9021.100;13331.221	12318	632.999	2524	259.676	0.410	0.946	9	28610.031
YLR073C|Spar_12;264058;263928|WT	507;1339;45;2;3;1;0;1;0;1447;0	283.910;670.210;45.000;1.454;2.142;0.594;0.000;0.598;0.000	1447	74.359	0	0.000	0.000	0.080	7	1003.908
YNR014W|Spar_14;628879;628926|WT	1;0;0;0;40;149;214;13;0;82;83	0.560;0.000;0.000;0.000;28.560;88.549;122.870;7.778;0.000	82	4.214	83	8.539	2.026	0.798	5	248.317
YMR042W|Spar_13;342702;342769|342703,AAG	4;2;1;0;136;138;646;519;309;472;591	2.240;1.001;1.000;0.000;97.102;82.012;370.907;310.515;210.525	472	24.255	591	60.804	2.507	0.891	8	1075.302
YDL240W|chrIV;22650;22822|WT	0;0;811;210;0;0;0;1;0;388;281	0.000;0.000;811.000;152.672;0.000;0.000;0.000;0.598;0.000	388	19.939	281	28.910	1.450	0.316	3	964.27
YOR062C|Spar_15;430770;430738|WT	1;0;0;0;0;20;0;23;12;19;77	0.560;0.000;0.000;0.000;0.000;11.886;0.000;13.761;8.176	19	0.976	77	7.922	8.117	0.872	4	34.383
YJL026W|chrX;392353;392403|392380,392503,AAG	86;0;1;0;0;150;215;69;19;115;208	48.158;0.000;1.000;0.000;0.000;89.144;123.444;41.282;12.945	115	5.910	208	21.400	3.621	0.718	6	315.973
YHL014C|chrVIII;77427;77314|77351,AAG	1342;3819;30;1;2;2;7;0;2;1597;0	751.494;1911.525;30.000;0.727;1.428;1.189;4.019;0.000;1.363	1597	82.067	0	0.000	0.000	0.072	8	2701.745
YOR368W|chrXV;1026811;1026842|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YNR034W|chrXIV;690233;690320|WT	0;0;0;0;0;1;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.594;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	0.732	1	0.594
YIL135C|Spar_9;77230;77172|WT	2;3;0;0;4;110;200;581;414;325;419	1.120;1.502;0.000;0.000;2.856;65.372;114.832;347.610;282.063	325	16.701	419	43.108	2.581	0.943	7	815.355
YHL032C|Spar_8;29474;29396|WT	1980;0;28;54;2;1;2;1;1;843;150	1108.762;0.000;28.000;39.259;1.428;0.594;1.148;0.598;0.681	843	43.320	150	15.432	0.356	0.041	8	1180.47
YJR140C|chrX;695757;695696|WT	1;1;2;1;67;85;678;113;42;360;608	0.560;0.501;2.000;0.727;47.837;50.515;389.281;67.607;28.615	360	18.500	608	62.553	3.381	0.856	9	587.643
YHR210C|chrVIII;521889;521737|521873,AAG	2264;0;0;35;0;1;1;0;1;923;233	1267.796;0.000;0.000;25.445;0.000;0.594;0.574;0.000;0.681	923	47.431	233	23.972	0.505	0.025	5	1295.09
YGL017W|chrVII;459815;459853|WT	0;0;0;0;0;0;0;16;0;2;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;9.573;0.000	2	0.103	0	0.000	0.000	0.971	1	9.573
YDR334W|chrIV;1135767;1135931|WT	0;489;24;0;0;0;0;0;0;144;0	0.000;244.759;24.000;0.000;0.000;0.000;0.000;0.000;0.000	144	7.400	0	0.000	0.000	0.106	2	268.759
YJL056C|chrX;333109;333073|WT	0;0;0;0;11;57;101;0;20;26;0	0.000;0.000;0.000;0.000;7.854;33.875;57.990;0.000;13.626	26	1.336	0	0.000	0.000	0.832	4	113.345
YLR053C|chrXII;248599;248426|248580,AAG	594;0;0;0;0;2;0;1;0;251;0	332.629;0.000;0.000;0.000;0.000;1.189;0.000;0.598;0.000	251	12.898	0	0.000	0.000	0.022	3	334.416
YJR001W|chrX;436745;436801|436769,436784,AAG	5;10;61;325;85;10;0;0;0;585;733	2.800;5.005;61.000;236.278;60.689;5.943;0.000;0.000;0.000	585	30.062	733	75.413	2.509	0.450	6	371.715
YOR335C|chrXV;949215;949109|949196,949190,AAG	4;3;85;1337;2718;298;211;1;0;4299;0	2.240;1.502;85.000;972.013;1940.618;177.099;121.148;0.598;0.000	4299	220.918	0	0.000	0.000	0.591	8	3300.218
YLR152C|chrXII;444827;444688|444698,AAG	2;1344;0;2;131;2;0;0;1;407;471	1.120;672.713;0.000;1.454;93.532;1.189;0.000;0.000;0.681	407	20.915	471	48.458	2.317	0.158	6	770.689
YBR276C|chrII;760138;760043|760086,760053,ATG	3706;2229;38;2;63;5;3;1;0;2508;2147	2075.288;1115.682;38.000;1.454;44.981;2.971;1.722;0.598;0.000	2508	128.882	2147	220.889	1.714	0.053	8	3280.696
YPL078C|Spar_16;433848;433791|WT	2;3;0;1;37;62;904;245;110;334;177	1.120;1.502;0.000;0.727;26.418;36.846;519.041;146.582;74.944	334	17.164	177	18.210	1.061	0.886	8	807.18
YBR121C|chrII;483431;483367|WT	0;1;0;12;0;80;176;250;70;157;221	0.000;0.501;0.000;8.724;0.000;47.543;101.052;149.574;47.692	157	8.068	221	22.737	2.818	0.900	6	355.086
YNL022C|Spar_14;569505;569494|WT	0;0;0;0;1;0;0;0;0;6;0	0.000;0.000;0.000;0.000;0.714;0.000;0.000;0.000;0.000	6	0.308	0	0.000	0.000	0.645	1	0.714
YDR017C|chrIV;482370;482267|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YBL005W|Spar_2;200398;200459|WT	1;1011;543;75;103;1;389;10;1;770;499	0.560;506.036;543.000;54.526;73.541;0.594;223.348;5.983;0.681	770	39.569	499	51.339	1.297	0.338	9	1408.269
YMR077C|Spar_13;401251;401216|WT	0;0;0;31;1;31;0;0;0;24;0	0.000;0.000;0.000;22.537;0.714;18.423;0.000;0.000;0.000	24	1.233	0	0.000	0.000	0.579	3	41.674
YNL065W|chrXIV;503630;503723|WT	2;190;549;136;0;1;0;0;0;674;1	1.120;95.101;549.000;98.873;0.000;0.594;0.000;0.000;0.000	674	34.636	1	0.103	0.003	0.285	5	744.688
YHL002W|Spar_8;87569;87732|WT	3423;359;177;43;3;4;1;0;0;2242;0	1916.814;179.690;177.000;31.261;2.142;2.377;0.574;0.000;0.000	2242	115.212	0	0.000	0.000	0.049	7	2309.858
YBR238C|Spar_2;677381;677308|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YNL151C|chrXIV;348576;348521|WT	0;0;0;5;1;311;583;378;72;298;709	0.000;0.000;0.000;3.635;0.714;184.825;334.735;226.156;49.054	298	15.314	709	72.944	4.763	0.875	6	799.119
YPR030W|chrXVI;627761;627879|627834,AAG	7979;5811;158;345;8;108;111;7;4;8174;0	4468.086;2908.582;158.000;250.819;5.712;64.184;63.732;4.188;2.725	8174	420.047	0	0.000	0.000	0.075	9	7926.028
YML009C-A|chrXIII;251168;251001|251076,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YHR186C|Spar_8;460633;460555|WT	2;4;63;610;1360;1308;7;1;0;1299;430	1.120;2.002;63.000;443.476;971.023;777.334;4.019;0.598;0.000	1299	66.753	430	44.240	0.663	0.626	8	2262.572
YBL085W|chrII;63739;63875|63803,63815,ATG	249;160;0;0;0;0;0;0;0;159;0	139.435;80.085;0.000;0.000;0.000;0.000;0.000;0.000;0.000	159	8.171	0	0.000	0.000	0.041	2	219.52
YFL017W-A|Spar_6;137883;137924|WT	0;0;0;46;98;96;0;0;0;84;0	0.000;0.000;0.000;33.442;69.971;57.052;0.000;0.000;0.000	84	4.317	0	0.000	0.000	0.635	3	160.465
YGL175C|Spar_7;174384;174367|174372,AAG	0;0;0;0;27;2;0;0;0;5;0	0.000;0.000;0.000;0.000;19.278;1.189;0.000;0.000;0.000	5	0.257	0	0.000	0.000	0.653	2	20.467
YJL179W|chrX;88718;88786|88721,AAG	1;1;0;0;0;1;2;263;805;293;574	0.560;0.501;0.000;0.000;0.000;0.594;1.148;157.352;548.456	293	15.057	574	59.055	3.922	0.990	6	708.611
YER123W|Spar_5;415661;415839|WT	0;1;0;1;505;813;0;0;0;342;171	0.000;0.501;0.000;0.727;360.564;483.159;0.000;0.000;0.000	342	17.575	171	17.593	1.001	0.694	4	844.951
YER053C-A|Spar_5;262092;262040|WT	3;0;1;15;0;127;602;329;195;353;589	1.680;0.000;1.000;10.905;0.000;75.475;345.644;196.839;132.856	353	18.140	589	60.598	3.341	0.898	7	764.399
YHR071C-A|chrVIII;239245;239230|WT	0;24;0;0;0;1;0;0;0;30;38	0.000;12.013;0.000;0.000;0.000;0.594;0.000;0.000;0.000	30	1.542	38	3.910	2.536	0.133	2	12.607
YDR212W|Spar_4;862555;862622|WT	1;2;1;0;16;176;392;451;275;302;0	0.560;1.001;1.000;0.000;11.424;104.595;225.071;269.831;187.361	302	15.519	0	0.000	0.000	0.910	8	800.843
YMR173W|Spar_13;590061;590095|WT	0;1;0;0;0;0;33;52;59;25;81	0.000;0.501;0.000;0.000;0.000;0.000;18.947;31.111;40.197	25	1.285	81	8.334	6.486	0.955	4	90.756
YDR160W|Spar_4;766355;766461|WT	1;3;1;652;50;50;1;0;0;539;0	0.560;1.502;1.000;474.011;35.699;29.715;0.574;0.000;0.000	539	27.698	0	0.000	0.000	0.476	7	543.061
YMR009W|chrXIII;284080;284101|WT	0;0;0;1;0;0;8;39;8;28;67	0.000;0.000;0.000;0.727;0.000;0.000;4.593;23.334;5.450	28	1.439	67	6.893	4.790	0.948	4	34.104
YJR054W|Spar_10;511880;511975|511908,AAG	1;1334;205;0;2;0;1;0;1;639;634	0.560;667.707;205.000;0.000;1.428;0.000;0.574;0.000;0.681	639	32.837	634	65.228	1.986	0.138	6	875.95
YIR005W|Spar_9;341025;341074|341029,AAG	0;0;0;1;0;60;122;52;0;90;115	0.000;0.000;0.000;0.727;0.000;35.658;70.048;31.111;0.000	90	4.625	115	11.832	2.558	0.858	4	137.544
YER056C|chrV;268200;268113|WT	7;2;1;0;142;1337;599;175;22;741;0	3.920;1.001;1.000;0.000;101.386;794.568;343.922;104.702;14.989	741	38.079	0	0.000	0.000	0.779	8	1365.488
YHR186C|chrVIII;480700;480672|480698,AAG	1;0;0;2;0;14;260;57;104;62;83	0.560;0.000;0.000;1.454;0.000;8.320;149.282;34.103;70.856	62	3.186	83	8.539	2.680	0.910	6	264.575
YDR481C|chrIV;1420305;1420250|1420281,1420254,AAG	0;1;0;29;528;499;419;57;5;618;811	0.000;0.501;0.000;21.083;376.985;296.552;240.573;34.103;3.407	618	31.758	811	83.438	2.627	0.737	7	973.204
YIL020C|chrIX;314862;314820|WT	0;0;0;0;0;1;9;18;17;45;38	0.000;0.000;0.000;0.000;0.000;0.594;5.167;10.769;11.582	45	2.312	38	3.910	1.691	0.956	4	28.112
YGR055W|chrVII;599383;599416|WT	0;0;0;0;0;0;35;9;28;46;92	0.000;0.000;0.000;0.000;0.000;0.000;20.096;5.385;19.077	46	2.364	92	9.465	4.004	0.941	3	44.558
YBR043C|chrII;324023;323945|WT	331;3932;202;25;45;9;2;1;23;2956;1217	185.354;1968.085;202.000;18.175;32.129;5.349;1.148;0.598;15.670	2956	151.903	1217	125.208	0.824	0.117	9	2428.508
YER121W|chrV;402353;402374|WT	0;0;0;0;0;0;16;0;12;11;0	0.000;0.000;0.000;0.000;0.000;0.000;9.187;0.000;8.176	11	0.565	0	0.000	0.000	0.935	2	17.363
YGR267C|chrVII;1025910;1025735|1025790,1025775,AAG,CGACGA	510;239;0;0;0;1;1;0;0;510;0	285.590;119.627;0.000;0.000;0.000;0.594;0.574;0.000;0.000	510	26.208	0	0.000	0.000	0.040	4	406.385
YLR051C|Spar_12;229338;229317|WT	0;0;0;0;0;5;52;72;22;57;0	0.000;0.000;0.000;0.000;0.000;2.971;29.856;43.077;14.989	57	2.929	0	0.000	0.000	0.937	4	90.893
YJR089W|chrX;587627;587717|WT	390;6869;96;46;4;120;8;5;1;3360;472	218.392;3438.143;96.000;33.442;2.856;71.315;4.593;2.991;0.681	3360	172.664	472	48.561	0.281	0.105	9	3868.413
YGR031W|chrVII;546368;546440|WT	6;3;1;147;1598;1665;431;162;62;1664;4419	3.360;1.502;1.000;106.871;1140.952;989.496;247.463;96.924;42.241	1664	85.510	4419	454.639	5.317	0.708	9	2629.809
YOR045W|chrXV;413794;413851|413795,AAG	0;0;0;0;0;0;0;52;62;66;462	0.000;0.000;0.000;0.000;0.000;0.000;0.000;31.111;42.241	66	3.392	462	47.532	14.013	0.988	2	73.352
YNL116W|chrXIV;408279;408340|WT	1;26;1;2;63;861;92;316;93;521;1052	0.560;13.014;1.000;1.454;44.981;511.685;52.823;189.061;63.362	521	26.773	1052	108.233	4.043	0.794	9	877.94
YCR052W|Spar_3;198546;198568|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YDL121C|Spar_4;250491;250448|WT	0;0;0;27;2;0;0;0;0;70;51	0.000;0.000;0.000;19.629;1.428;0.000;0.000;0.000;0.000	70	3.597	51	5.247	1.459	0.467	2	21.057
YNR046W|chrXIV;707754;707787|WT	0;0;0;0;21;114;43;2;14;73;0	0.000;0.000;0.000;0.000;14.994;67.749;24.689;1.197;9.538	73	3.751	0	0.000	0.000	0.778	5	118.167
YFL027C|chrVI;81923;81912|WT	0;0;0;0;4;13;1;11;3;11;8	0.000;0.000;0.000;0.000;2.856;7.726;0.574;6.581;2.044	11	0.565	8	0.823	1.457	0.839	5	19.781
YGL061C|chrVII;389779;389711|WT	2;3;1;0;0;1;0;253;250;179;0	1.120;1.502;1.000;0.000;0.000;0.594;0.000;151.369;170.328	179	9.198	0	0.000	0.000	0.970	6	325.913
YBL028C|Spar_2;148106;148065|WT	2;0;0;0;0;43;50;19;21;37;66	1.120;0.000;0.000;0.000;0.000;25.555;28.708;11.368;14.308	37	1.901	66	6.790	3.572	0.847	5	81.059
YFR029W|chrVI;210884;210936|WT	6;3;0;64;611;544;83;0;0;575;641	3.360;1.502;0.000;46.529;436.246;323.295;47.655;0.000;0.000	575	29.548	641	65.948	2.232	0.676	6	858.587
YHL008C|chrVIII;94650;94510|WT	2;633;548;369;0;1;2;0;0;495;0	1.120;316.836;548.000;268.267;0.000;0.594;1.148;0.000;0.000	495	25.437	0	0.000	0.000	0.272	6	1135.965
YNR061C|Spar_14;720161;720093|WT	1;29;349;49;0;1;0;0;0;244;644	0.560;14.515;349.000;35.624;0.000;0.594;0.000;0.000;0.000	244	12.539	644	66.257	5.284	0.297	5	400.293
YOL122C|chrXV;91455;91419|WT	0;0;0;0;0;27;0;0;0;9;73	0.000;0.000;0.000;0.000;0.000;16.046;0.000;0.000;0.000	9	0.462	73	7.510	16.255	0.732	1	16.046
YNR046W|chrXIV;707733;707787|WT	0;12;167;100;0;1;1;0;0;188;297	0.000;6.006;167.000;72.701;0.000;0.594;0.574;0.000;0.000	188	9.661	297	30.556	3.163	0.335	5	246.875
YBL082C|chrII;71159;71127|71159,AAG	0;0;0;0;0;14;49;0;0;13;119	0.000;0.000;0.000;0.000;0.000;8.320;28.134;0.000;0.000	13	0.668	119	12.243	18.328	0.842	2	36.454
YDR398W|Spar_4;1233082;1233116|WT	1;0;2;0;61;7;0;0;8;36;0	0.560;0.000;2.000;0.000;43.553;4.160;0.000;0.000;5.450	36	1.850	0	0.000	0.000	0.660	5	55.723
YBR030W|chrII;298263;298291|WT	0;0;0;0;0;0;0;14;3;3;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;8.376;2.044	3	0.154	0	0.000	0.000	0.978	2	10.42
YFR051C|chrVI;251856;251803|WT	0;2;0;0;0;24;221;42;36;142;0	0.000;1.001;0.000;0.000;0.000;14.263;126.889;25.128;24.527	142	7.297	0	0.000	0.000	0.886	5	191.808
YFL034C-A|Spar_6;98311;98258|WT	0;0;0;0;0;11;0;41;40;73;0	0.000;0.000;0.000;0.000;0.000;6.537;0.000;24.530;27.252	73	3.751	0	0.000	0.000	0.957	3	58.319
YMR079W|chrXIII;424953;424988|WT	0;0;0;62;147;37;0;0;0;67;137	0.000;0.000;0.000;45.075;104.956;21.989;0.000;0.000;0.000	67	3.443	137	14.095	4.094	0.604	3	172.02
YML058W|chrXIII;159338;159382|159362,159461,ATG	1;244;0;0;1;1;0;0;0;113;14	0.560;122.129;0.000;0.000;0.714;0.594;0.000;0.000;0.000	113	5.807	14	1.440	0.248	0.096	4	123.997
YCL052C|Spar_3;36648;36618|WT	9;7;0;0;72;63;50;10;20;47;3	5.040;3.504;0.000;0.000;51.407;37.440;28.708;5.983;13.626	47	2.415	3	0.309	0.128	0.718	7	145.708
YGL212W|chrVII;91417;91431|WT	0;0;0;0;0;0;0;0;0;5;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	5	0.257	0	0.000	0.000	TooLow	0	0
YDR320C-A|Spar_4;1146683;1146677|WT	0;0;0;0;0;7;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;4.160;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	0.732	1	4.16
YDL068W|Spar_4;338357;338363|WT	0;0;0;7;1;3;0;3;0;5;0	0.000;0.000;0.000;5.089;0.714;1.783;0.000;1.795;0.000	5	0.257	0	0.000	0.000	0.613	4	9.381
YIR033W|Spar_9;391699;391775|WT	7;1383;657;55;2;144;5;1;1;1131;480	3.920;692.233;657.000;39.986;1.428;85.578;2.871;0.598;0.681	1131	58.120	480	49.384	0.850	0.227	9	1484.295
YDR503C|Spar_4;1433705;1433669|WT	0;1;0;40;9;0;0;0;0;26;71	0.000;0.501;0.000;29.080;6.426;0.000;0.000;0.000;0.000	26	1.336	71	7.305	5.468	0.476	3	36.007
YNL137C|chrXIV;370161;370055|370094,370067,WT,CGACGA	10;10;149;101;238;1918;7361;3820;1111;3519;0	5.600;5.005;149.000;73.428;169.929;1139.852;4226.393;2285.489;756.937	3519	180.835	0	0.000	0.000	0.874	9	8811.633
YGL038C|chrVII;426893;426804|WT	0;0;0;1;0;191;225;132;260;218;0	0.000;0.000;0.000;0.727;0.000;113.510;129.186;78.975;177.141	218	11.203	0	0.000	0.000	0.902	5	499.539
YLR233C|Spar_12;568249;568213|WT	14;43;0;0;0;1;0;0;0;61;141	7.840;21.523;0.000;0.000;0.000;0.594;0.000;0.000;0.000	61	3.135	141	14.506	4.627	0.089	3	29.957
YPL168W|chrXVI;231094;231216|WT	8;33;481;1421;113;157;1;3;0;2104;0	4.480;16.518;481.000;1033.082;80.681;93.304;0.574;1.795;0.000	2104	108.121	0	0.000	0.000	0.425	8	1711.434
YNL115C|Spar_14;396674;396631|WT	0;0;0;0;0;24;42;24;8;60;88	0.000;0.000;0.000;0.000;0.000;14.263;24.115;14.359;5.450	60	3.083	88	9.054	2.937	0.876	4	58.187
YDR364C|chrIV;1204233;1204210|1204215,AAG	0;0;2;15;6;5;0;0;0;37;44	0.000;0.000;2.000;10.905;4.284;2.971;0.000;0.000;0.000	37	1.901	44	4.527	2.381	0.511	4	20.16
YFR005C|Spar_6;183126;183089|WT	1;0;0;0;30;78;15;21;9;72;45	0.560;0.000;0.000;0.000;21.420;46.355;8.612;12.564;6.132	72	3.700	45	4.630	1.251	0.769	6	95.643
