Construct	RawFACS	NormFACS	RawDNA	NormDNA	RawRNA	NormRNA	TxnLevl	YFP2mCherry	NonZeroBins	TotalFacsReads
YOL013W-B|chrXV;300598;300689|WT	0;0;0;334;0;0;0;0;0;207;29	0.000;0.000;0.000;173.888;0.000;0.000;0.000;0.000;0.000	207	11.551	29	2.041	0.177	0.413	1	173.888
YKR089C|chrXI;608417;608365|WT	0;0;68;55;1;0;0;0;0;90;514	0.000;0.000;45.543;28.634;0.427;0.000;0.000;0.000;0.000	90	5.022	514	36.177	7.204	0.333	3	74.604
YHR147C|Spar_8;371818;371786|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YNL160W|Spar_14;320862;320921|WT	1;0;0;1;1;0;229;106;154;90;148	0.546;0.000;0.000;0.521;0.427;0.000;144.856;105.865;68.442	90	5.022	148	10.417	2.074	0.930	6	320.657
YDR237W|chrIV;936485;936614|WT	2;0;0;197;0;388;275;0;0;256;0	1.092;0.000;0.000;102.563;0.000;260.775;173.954;0.000;0.000	256	14.285	0	0.000	0.000	0.712	4	538.384
YNL188W|Spar_14;270509;270566|270563,AAG	0;0;0;0;0;56;347;66;84;51;0	0.000;0.000;0.000;0.000;0.000;37.638;219.498;65.916;37.332	51	2.846	0	0.000	0.000	0.895	4	360.384
YGR185C|Spar_7;834570;834538|WT	0;0;0;14;0;51;0;4;0;30;179	0.000;0.000;0.000;7.289;0.000;34.277;0.000;3.995;0.000	30	1.674	179	12.599	7.526	0.685	3	45.561
YGL038C|Spar_7;422850;422800|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YOR363C|Spar_15;960696;960604|960676,AAG	13;109;1122;10789;4239;540;48;4;1;6447;3188	7.099;109.000;751.464;5616.990;1808.549;362.935;30.363;3.995;0.444	6447	359.745	3188	224.384	0.624	0.446	9	8690.839
YBL031W|Spar_2;141877;141899|141896,AAG	0;0;0;0;2;129;15;25;5;44;153	0.000;0.000;0.000;0.000;0.853;86.701;9.488;24.968;2.222	44	2.455	153	10.769	4.387	0.783	5	124.232
YDL027C|chrIV;404990;404957|404971,AAG	0;0;0;0;0;0;2;10;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;1.265;9.987;0.000	0	0.000	0	0.000	LowReads	0.944	2	11.252
YOR006C|Spar_15;325997;325941|WT	3;1;1;1;545;1111;925;73;2;801;2391	1.638;1.000;0.670;0.521;232.522;746.705;585.118;72.907;0.889	801	44.696	2391	168.288	3.765	0.768	9	1641.97
YFR042W|chrVI;238453;238457|WT	0;0;0;0;0;13;7;0;0;3;6	0.000;0.000;0.000;0.000;0.000;8.737;4.428;0.000;0.000	3	0.167	6	0.422	2.527	0.778	2	13.165
YFR024C-A|chrVI;203458;203433|WT	1;0;0;0;1;0;2;27;62;11;24	0.546;0.000;0.000;0.000;0.427;0.000;1.265;26.966;27.554	11	0.614	24	1.689	2.751	0.952	5	56.758
YNL156C|chrXIV;342139;341968|342014,341957,ATG	0;0;1;1;0;0;0;0;0;132;0	0.000;0.000;0.670;0.521;0.000;0.000;0.000;0.000;0.000	132	7.366	0	0.000	0.000	0.345	2	1.191
YDR498C|chrIV;1447029;1446994|WT	0;0;0;0;0;12;30;6;9;5;214	0.000;0.000;0.000;0.000;0.000;8.065;18.977;5.992;4.000	5	0.279	214	15.062	53.986	0.874	4	37.034
YOL006C|Spar_15;300335;300278|WT	2;2;2;15;270;348;477;110;59;573;1187	1.092;2.000;1.340;7.809;115.194;233.891;301.731;109.860;26.221	573	31.974	1187	83.546	2.613	0.796	9	799.138
YOL088C|Spar_15;139134;139076|WT	1;20;3;1;22;265;1071;265;730;772;2064	0.546;20.000;2.009;0.521;9.386;178.107;677.472;264.663;324.431	772	43.078	2064	145.272	3.372	0.889	9	1477.135
YOR327C|Spar_15;872912;872838|WT	3;1;0;30;6;102;1581;699;1048;840;2979	1.638;1.000;0.000;15.619;2.560;68.554;1000.077;698.112;465.758	840	46.872	2979	209.674	4.473	0.922	8	2253.318
YPL214C|chrXVI;150275;150191|150247,150220,AAG	11;12;66;1291;6717;1372;471;28;1;2747;865	6.007;12.000;44.204;672.123;2865.775;922.123;297.936;27.964;0.444	2747	153.284	865	60.882	0.397	0.599	9	4848.576
YLR262C|chrXII;668931;668891|WT	0;0;0;0;0;0;0;45;79;9;48	0.000;0.000;0.000;0.000;0.000;0.000;0.000;44.943;35.110	9	0.502	48	3.378	6.729	0.975	2	80.053
YGL049C|chrVII;409774;409604|WT	0;0;0;0;0;1;0;42;0;81;0	0.000;0.000;0.000;0.000;0.000;0.672;0.000;41.947;0.000	81	4.520	0	0.000	0.000	0.949	2	42.619
YGL023C|chrVII;452148;452104|WT	0;28;240;24;0;0;22;0;0;146;0	0.000;28.000;160.741;12.495;0.000;0.000;13.916;0.000;0.000	146	8.147	0	0.000	0.000	0.298	4	215.152
YCR096C|chrIII;293659;293538|293606,293525,AAG,CGACGA	5;589;3357;979;125;31;227;2;0;2994;2876	2.730;589.000;2248.365;509.689;53.331;20.835;143.591;1.997;0.000	2994	167.066	2876	202.424	1.212	0.296	8	3569.538
YGL059W|chrVII;392199;392222|392201,AAG	0;0;0;0;0;0;4;17;19;11;27	0.000;0.000;0.000;0.000;0.000;0.000;2.530;16.978;8.444	11	0.614	27	1.900	3.094	0.962	3	27.952
YJL161W|Spar_10;109236;109265|WT	0;1;0;0;96;49;24;15;0;68;261	0.000;1.000;0.000;0.000;40.958;32.933;15.181;14.981;0.000	68	3.794	261	18.370	4.842	0.712	5	105.053
YHR072W|Spar_8;215164;215246|WT	54;3053;1502;3;6;6;2;14;5;3368;1675	29.488;3053.000;1005.971;1.562;2.560;4.033;1.265;13.982;2.222	3368	187.936	1675	117.893	0.627	0.131	9	4114.083
YER053C|chrV;259806;259639|259736,259721,AAG	0;0;0;7;0;0;174;0;0;52;0	0.000;0.000;0.000;3.644;0.000;0.000;110.065;0.000;0.000	52	2.902	0	0.000	0.000	0.874	2	113.709
YDL085C-A|chrIV;302712;302670|WT	0;0;0;1;80;59;44;1;0;53;528	0.000;0.000;0.000;0.521;34.132;39.654;27.833;0.999;0.000	53	2.957	528	37.163	12.568	0.717	5	103.139
YDR034C-A|chrIV;520805;520692|520785,AAG	1903;706;0;2;3;2;1;1;1;1432;319	1039.182;706.000;0.000;1.041;1.280;1.344;0.633;0.999;0.444	1432	79.906	319	22.452	0.281	0.046	8	1750.923
YER012W|Spar_5;179809;179894|WT	4;3;1;29;86;924;1899;557;333;1667;500	2.184;3.000;0.670;15.098;36.691;621.022;1201.231;556.292;147.994	1667	93.019	500	35.192	0.378	0.859	9	2584.182
YOR358W|chrXV;1010124;1010160|WT	0;0;0;0;0;35;24;7;0;19;151	0.000;0.000;0.000;0.000;0.000;23.524;15.181;6.991;0.000	19	1.060	151	10.628	10.026	0.811	3	45.696
YDL030W|Spar_4;406191;406204|WT	0;0;0;0;5;0;0;0;0;12;0	0.000;0.000;0.000;0.000;2.133;0.000;0.000;0.000;0.000	12	0.670	0	0.000	0.000	0.581	1	2.133
YJL023C|Spar_10;390013;389961|WT	16;15;7;39;0;0;0;0;0;79;63	8.737;15.000;4.688;20.304;0.000;0.000;0.000;0.000;0.000	79	4.408	63	4.434	1.006	0.225	4	48.729
YDL124W|Spar_4;245125;245153|WT	0;0;0;0;8;11;32;17;13;34;152	0.000;0.000;0.000;0.000;3.413;7.393;20.242;16.978;5.778	34	1.897	152	10.698	5.639	0.875	5	53.804
YHR107C|chrVIII;328094;328036|WT	1;0;0;0;107;95;331;18;39;140;372	0.546;0.000;0.000;0.000;45.651;63.850;209.377;17.977;17.333	140	7.812	372	26.183	3.352	0.826	6	354.734
YIR001C|Spar_9;333120;333068|WT	1;0;1;0;1;237;440;184;299;380;2330	0.546;0.000;0.670;0.000;0.427;159.288;278.326;183.766;132.883	380	21.204	2330	163.994	7.734	0.886	7	755.906
YJR082C|Spar_10;558523;558428|WT	1;50;646;1141;572;242;0;0;0;749;299	0.546;50.000;432.661;594.030;244.041;162.649;0.000;0.000;0.000	749	41.794	299	21.045	0.504	0.423	6	1483.927
YDR384C|Spar_4;945480;945540|WT	1;0;0;2;14;85;190;51;0;137;0	0.546;0.000;0.000;1.041;5.973;57.129;120.186;50.935;0.000	137	7.645	0	0.000	0.000	0.846	6	235.81
YKR013W|chrXI;463918;463958|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YOR291W|chrXV;861031;861174|861062,861077,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YOR241W|chrXV;786848;786994|WT	0;1;769;344;1;0;0;1;1;411;136	0.000;1.000;515.041;179.094;0.427;0.000;0.000;0.999;0.444	411	22.934	136	9.572	0.417	0.314	6	697.005
YHR114W|chrVIII;337969;338082|338026,338080,WT,CGACGA	75;2;2;12;639;2182;1804;1032;363;1871;1042	40.956;2.000;1.340;6.247;272.626;1466.526;1141.138;1030.689;161.327	1871	104.402	1042	73.340	0.702	0.818	9	4122.849
YDR067C|Spar_4;582413;582349|582359,AAG	213;125;140;17;1;0;0;0;0;373;551	116.314;125.000;93.766;8.851;0.427;0.000;0.000;0.000;0.000	373	20.814	551	38.782	1.863	0.122	5	344.358
YNL288W|chrXIV;90161;90302|90215,90260,WT,CGACGA	16;0;1;0;700;2880;1403;526;782;2112;2444	8.737;0.000;0.670;0.000;298.652;1935.652;887.481;525.332;347.541	2112	117.850	2444	172.018	1.460	0.799	7	4004.065
YMR305C|chrXIII;880324;880232|880276,880210,AAG,CGACGA	9;149;88;2083;7496;848;2;51;4;3083;2459	4.915;149.000;58.938;1084.456;3198.132;569.942;1.265;50.935;1.778	3083	172.033	2459	173.074	1.006	0.545	9	5119.361
YOL097W-A|chrXV;136045;136219|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YMR104C|chrXIII;475522;475453|WT	4;0;0;1;2;126;660;294;561;511;911	2.184;0.000;0.000;0.521;0.853;84.685;417.489;293.626;249.323	511	28.514	911	64.120	2.249	0.917	7	1048.681
YIR031C|Spar_9;390475;390334|390365,AAG	12113;1352;12;14;7;9;8;1;172;5352;125	6614.614;1352.000;8.037;7.289;2.987;6.049;5.060;0.999;76.441	5352	298.644	125	8.798	0.029	0.041	9	8073.476
YGR174W-A|chrVII;846514;846654|WT	925;32;0;1;1;1;0;0;0;164;0	505.120;32.000;0.000;0.521;0.427;0.672;0.000;0.000;0.000	164	9.151	0	0.000	0.000	0.026	5	538.74
YDL193W|Spar_4;120289;120408|WT	4;5;3;1;177;1649;1289;656;190;1327;1338	2.184;5.000;2.009;0.521;75.516;1108.295;815.370;655.166;84.441	1327	74.047	1338	94.174	1.272	0.827	9	2748.502
YFR034C|chrVI;225993;225958|WT	33;17;0;1;40;21;89;9;11;121;0	18.020;17.000;0.000;0.521;17.066;14.114;56.298;8.989;4.889	121	6.752	0	0.000	0.000	0.618	8	136.897
YNR044W|Spar_14;680094;680124|WT	0;0;0;0;0;32;0;0;0;0;11	0.000;0.000;0.000;0.000;0.000;21.507;0.000;0.000;0.000	0	0.000	11	0.774	LowReads	0.716	1	21.507
YPR085C|chrXVI;709875;709828|709872,709833,WT,CGACGA	310;61;16;1;0;2;0;0;0;264;0	169.283;61.000;10.716;0.521;0.000;1.344;0.000;0.000;0.000	264	14.731	0	0.000	0.000	0.053	5	242.864
YKL115C|chrXI;223301;223285|WT	0;1;0;8;22;4;3;0;0;6;43	0.000;1.000;0.000;4.165;9.386;2.688;1.898;0.000;0.000	6	0.335	43	3.027	9.036	0.543	5	19.137
YPL002C|chrXVI;554331;554328|WT	0;0;2;0;0;18;27;2;6;18;45	0.000;0.000;1.340;0.000;0.000;12.098;17.079;1.997;2.667	18	1.004	45	3.167	3.154	0.811	5	35.181
YMR006C|Spar_13;268515;268456|WT	1;6;0;3;125;823;383;93;10;450;1258	0.546;6.000;0.000;1.562;53.331;553.140;242.270;92.882;4.444	450	25.110	1258	88.543	3.526	0.771	8	954.175
YKL095W|chrXI;262111;262276|WT	1;0;1;1;277;498;0;0;0;269;579	0.546;0.000;0.670;0.521;118.181;334.707;0.000;0.000;0.000	269	15.010	579	40.752	2.715	0.678	5	454.625
YLR380W|Spar_12;832821;832904|WT	3;0;4;0;141;128;428;313;55;488;151	1.638;0.000;2.679;0.000;60.157;86.029;270.736;312.602;24.443	488	27.231	151	10.628	0.390	0.871	7	758.284
YNL211C|Spar_14;234076;234025|234075,AAG	0;179;217;0;0;1;0;1;0;205;179	0.000;179.000;145.337;0.000;0.000;0.672;0.000;0.999;0.000	205	11.439	179	12.599	1.101	0.171	4	326.008
YMR294W|chrXIII;856921;856965|WT	0;0;0;0;0;0;0;0;0;31;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	31	1.730	0	0.000	0.000	TooLow	0	0
YDL116W|Spar_4;256434;256475|WT	0;0;1;0;11;56;27;56;10;40;538	0.000;0.000;0.670;0.000;4.693;37.638;17.079;55.929;4.444	40	2.232	538	37.867	16.966	0.853	6	120.453
YBR216C|Spar_2;637634;637601|WT	0;1;0;0;0;65;74;0;8;89;417	0.000;1.000;0.000;0.000;0.000;43.687;46.809;0.000;3.555	89	4.966	417	29.350	5.910	0.799	4	95.051
YNL044W|chrXIV;545196;545267|545235,545250,WT,CGACGA	2;1;1;11;1558;617;255;23;1;571;1304	1.092;1.000;0.670;5.727;664.713;414.687;161.303;22.971;0.444	571	31.862	1304	91.781	2.881	0.668	9	1272.607
YEL068C|Spar_5;5977;5956|WT	0;0;0;4;1;0;43;15;37;14;126	0.000;0.000;0.000;2.082;0.427;0.000;27.200;14.981;16.444	14	0.781	126	8.868	11.355	0.907	5	61.134
YML125C|chrXIII;21717;21699|WT	0;0;0;0;0;80;65;0;10;8;101	0.000;0.000;0.000;0.000;0.000;53.768;41.116;0.000;4.444	8	0.446	101	7.109	15.939	0.803	3	99.328
YHR001W-A|chrVIII;107759;107825|WT	42;0;1;3;1;160;690;302;381;530;601	22.935;0.000;0.670;1.562;0.427;107.536;436.466;301.616;169.326	530	29.574	601	42.301	1.430	0.888	8	1040.538
YHR061C|chrVIII;222516;222478|WT	0;0;0;0;0;12;0;0;0;2;0	0.000;0.000;0.000;0.000;0.000;8.065;0.000;0.000;0.000	2	0.112	0	0.000	0.000	0.716	1	8.065
YOR090C|Spar_15;480376;480274|WT	3;0;0;0;844;0;0;0;0;503;0	1.638;0.000;0.000;0.000;360.088;0.000;0.000;0.000;0.000	503	28.068	0	0.000	0.000	0.578	2	361.726
YDR173C|chrIV;811695;811632|811657,811645,AAG	28;248;96;89;2;1;1;0;0;352;211	15.290;248.000;64.296;46.335;0.853;0.672;0.633;0.000;0.000	352	19.642	211	14.851	0.756	0.156	7	376.079
YGL245W|chrVII;39007;39022|WT	0;0;0;0;0;8;12;15;3;6;158	0.000;0.000;0.000;0.000;0.000;5.377;7.591;14.981;1.333	6	0.335	158	11.121	33.197	0.895	4	29.282
YNL007C|chrXIV;619692;619565|619680,619623,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YGR038W|chrVII;560543;560681|560603,560678,ATG	154;672;0;1;0;2;0;1;2;533;0	84.096;672.000;0.000;0.521;0.000;1.344;0.000;0.999;0.889	533	29.742	0	0.000	0.000	0.075	6	759.849
YOR312C|chrXV;901220;901194|WT	0;0;0;1;0;10;45;7;13;23;0	0.000;0.000;0.000;0.521;0.000;6.721;28.465;6.991;5.778	23	1.283	0	0.000	0.000	0.879	5	48.476
YDR237W|chrIV;936472;936614|936585,936633,AAG,CGACGA	6;2;182;752;2325;479;266;1;1;1679;1958	3.276;2.000;121.895;391.508;991.950;321.937;168.261;0.999;0.444	1679	93.689	1958	137.812	1.471	0.576	9	2002.27
YMR315W|chrXIII;902757;902799|902768,902799,WT,CGACGA	1;0;0;0;8;61;81;0;0;73;298	0.546;0.000;0.000;0.000;3.413;40.998;51.237;0.000;0.000	73	4.073	298	20.974	5.150	0.796	4	96.194
YMR299C|Spar_13;813553;813494|WT	0;0;0;5;0;101;61;0;39;52;0	0.000;0.000;0.000;2.603;0.000;67.882;38.586;0.000;17.333	52	2.902	0	0.000	0.000	0.802	4	126.404
YLL036C|chrXII;68268;68256|WT	0;0;0;0;0;2;0;5;7;12;15	0.000;0.000;0.000;0.000;0.000;1.344;0.000;4.994;3.111	12	0.670	15	1.056	1.576	0.928	3	9.449
YAL059W|chrI;36354;36508|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YBL008W-A|chrII;209230;209408|WT	1221;78;0;0;0;1;1;0;0;169;0	666.758;78.000;0.000;0.000;0.000;0.672;0.633;0.000;0.000	169	9.430	0	0.000	0.000	0.028	4	746.063
YOR087W|chrXV;487634;487706|WT	1;0;0;1;0;2;535;27;385;59;0	0.546;0.000;0.000;0.521;0.000;1.344;338.420;26.966;171.104	59	3.292	0	0.000	0.000	0.925	6	538.901
YKR077W|Spar_11;597942;597981|WT	1;0;0;41;14;6;0;0;0;20;354	0.546;0.000;0.000;21.346;5.973;4.033;0.000;0.000;0.000	20	1.116	354	24.916	22.326	0.476	4	31.898
YNL240C|chrXIV;200024;199977|WT	0;0;33;202;635;70;0;0;0;370;578	0.000;0.000;22.102;105.166;270.920;47.047;0.000;0.000;0.000	370	20.646	578	40.682	1.970	0.540	4	445.235
YBR081C|Spar_2;377788;377630|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YNL118C|Spar_14;390128;390076|WT	0;0;0;1;0;0;8;12;52;21;91	0.000;0.000;0.000;0.521;0.000;0.000;5.060;11.985;23.110	21	1.172	91	6.405	5.465	0.958	4	40.676
YNR006W|chrXIV;636964;636985|WT	0;0;0;0;0;0;1;32;35;1;50	0.000;0.000;0.000;0.000;0.000;0.000;0.633;31.959;15.555	1	0.056	50	3.519	62.839	0.968	3	48.147
YDR117C|Spar_4;677577;677539|WT	0;0;0;14;48;28;26;0;0;47;37	0.000;0.000;0.000;7.289;20.479;18.819;16.447;0.000;0.000	47	2.623	37	2.604	0.993	0.681	4	63.034
YPL229W|Spar_16;141800;141838|WT	0;0;0;0;20;0;0;0;0;13;72	0.000;0.000;0.000;0.000;8.533;0.000;0.000;0.000;0.000	13	0.725	72	5.068	6.990	0.581	1	8.533
YBR013C|Spar_2;237653;237489|237539,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YCR026C|Spar_3;149984;149963|WT	0;0;0;0;0;12;9;0;1;2;94	0.000;0.000;0.000;0.000;0.000;8.065;5.693;0.000;0.444	2	0.112	94	6.616	59.071	0.799	3	14.202
YBR161W|chrII;561621;561633|WT	0;0;0;0;3;0;59;0;5;17;44	0.000;0.000;0.000;0.000;1.280;0.000;37.321;0.000;2.222	17	0.949	44	3.097	3.263	0.884	3	40.823
YLR154W-E|chrXII;455337;455432|455401,AAG	13702;738;167;109;204;14;5;0;4;5455;1598	7482.328;738.000;111.849;56.748;87.036;9.409;3.163;0.000;1.778	5455	304.391	1598	112.473	0.370	0.038	8	8490.311
YFR005C|Spar_6;183126;183089|WT	0;0;0;0;4;96;18;3;1;45;429	0.000;0.000;0.000;0.000;1.707;64.522;11.386;2.996;0.444	45	2.511	429	30.195	12.025	0.750	5	81.055
YFR054C|Spar_6;290705;290547|290687,AAG	264;120;0;0;0;0;0;0;0;100;121	144.164;120.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	100	5.580	121	8.516	1.526	0.046	2	264.164
YLR451W|Spar_12;981006;981122|WT	489;283;0;1;1;0;0;0;2;755;0	267.031;283.000;0.000;0.521;0.427;0.000;0.000;0.000;0.889	755	42.129	0	0.000	0.000	0.053	5	551.868
YLR189C|chrXII;534448;534393|534426,534414,AAG	0;0;1;17;0;21;359;114;306;131;982	0.000;0.000;0.670;8.851;0.000;14.114;227.089;113.855;135.994	131	7.310	982	69.117	9.455	0.920	6	500.573
YHR032W|chrVIII;173247;173343|173308,173470,AAG	7;2;2;4;9;407;1625;1890;3248;2208;3452	3.823;2.000;1.340;2.082;3.840;273.545;1027.910;1887.598;1443.495	2208	123.207	3452	242.965	1.972	0.938	9	4645.633
YML028W|Spar_13;208152;208181|WT	1;0;0;0;0;0;90;39;63;26;169	0.546;0.000;0.000;0.000;0.000;0.000;56.930;38.950;27.999	26	1.451	169	11.895	8.198	0.928	4	124.425
YDR346C|chrIV;1168789;1168659|1168712,1168658,AAG,CGACGA	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YKR041W|Spar_11;532757;532776|WT	0;0;11;4;13;0;0;0;0;4;0	0.000;0.000;7.367;2.082;5.546;0.000;0.000;0.000;0.000	4	0.223	0	0.000	0.000	0.408	3	14.995
YMR206W|chrXIII;675741;675895|WT	2;0;347;356;0;0;0;0;0;331;0	1.092;0.000;232.405;185.341;0.000;0.000;0.000;0.000;0.000	331	18.470	0	0.000	0.000	0.336	3	418.838
YLR346C|chrXII;822646;822592|822642,AAG	0;1;21;11;374;30;19;0;0;145;208	0.000;1.000;14.065;5.727;159.565;20.163;12.019;0.000;0.000	145	8.091	208	14.640	1.809	0.582	6	212.539
YOL033W|Spar_15;248025;248084|WT	1;1;0;51;451;234;88;16;3;332;820	0.546;1.000;0.000;26.552;192.417;157.272;55.665;15.980;1.333	332	18.526	820	57.715	3.115	0.667	8	450.765
YNL215W|Spar_14;228098;228167|WT	6;2;0;1;3;220;1717;477;411;878;3573	3.276;2.000;0.000;0.521;1.280;147.862;1086.105;476.394;182.659	878	48.993	3573	251.482	5.133	0.900	8	1900.097
YKL045W|chrXI;353419;353492|WT	4;3;2;71;1036;2983;495;39;2;1171;2197	2.184;3.000;1.340;36.964;442.004;2004.879;313.117;38.950;0.889	1171	65.342	2197	154.633	2.367	0.712	9	2843.327
YHR129C|chrVIII;364228;364153|WT	2;3;2481;1459;582;4;35;1;0;2018;4909	1.092;3.000;1661.660;759.587;248.307;2.688;22.140;0.999;0.000	2018	112.605	4909	345.514	3.068	0.349	8	2699.473
YNL207W|chrXIV;255255;255352|WT	3;2;84;389;3362;768;244;0;1;2417;1065	1.638;2.000;56.259;202.522;1434.381;516.174;154.345;0.000;0.444	2417	134.869	1065	74.959	0.556	0.608	8	2367.763
YLR152C|chrXII;444827;444688|444760,444709,WT,CGACGA	2184;769;0;0;3;1;0;2;2;1191;375	1192.629;769.000;0.000;0.000;1.280;0.672;0.000;1.997;0.889	1191	66.458	375	26.394	0.397	0.044	6	1966.467
YNL185C|Spar_14;277007;276935|WT	318;4;63;50;612;1237;1597;261;78;940;1134	173.652;4.000;42.195;26.031;261.107;831.390;1010.198;260.668;34.665	940	52.452	1134	79.815	1.522	0.739	9	2643.906
YJL141C|chrX;150461;150390|150408,150396,AAG	3;0;3;1;490;612;875;203;122;1008;978	1.638;0.000;2.009;0.521;209.056;411.326;553.490;202.742;54.220	1008	56.247	978	68.835	1.224	0.806	8	1435.002
YER002W|Spar_5;157903;157952|WT	0;0;0;2;358;27;107;2;0;155;164	0.000;0.000;0.000;1.041;152.739;18.147;67.684;1.997;0.000	155	8.649	164	11.543	1.335	0.679	5	241.608
YNL211C|Spar_14;234048;234025|234048,AAG	0;0;0;0;21;27;83;4;15;17;167	0.000;0.000;0.000;0.000;8.960;18.147;52.502;3.995;6.666	17	0.949	167	11.754	12.386	0.835	5	90.27
YPL202C|Spar_16;194178;194110|WT	0;47;192;38;0;0;0;0;0;262;0	0.000;47.000;128.593;19.784;0.000;0.000;0.000;0.000;0.000	262	14.620	0	0.000	0.000	0.242	3	195.377
YLR301W|chrXII;730793;730824|WT	0;0;0;0;0;0;0;3;21;12;4	0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.996;9.333	12	0.670	4	0.282	0.421	0.990	2	12.329
YHR005C-A|Spar_8;94749;94714|WT	0;0;0;0;1;4;16;4;4;9;311	0.000;0.000;0.000;0.000;0.427;2.688;10.121;3.995;1.778	9	0.502	311	21.889	43.604	0.873	5	19.009
YOR042W|Spar_15;396804;396856|WT	1;1;0;16;153;467;153;30;33;167;879	0.546;1.000;0.000;8.330;65.277;313.871;96.782;29.962;14.666	167	9.319	879	61.867	6.639	0.744	8	530.434
YNR028W|Spar_14;652591;652650|WT	0;1;0;2;572;179;284;13;0;340;453	0.000;1.000;0.000;1.041;244.041;120.306;179.647;12.983;0.000	340	18.972	453	31.884	1.681	0.715	6	559.018
YPR059C|chrXVI;674833;674700|WT	0;0;22;0;0;0;0;0;0;17;0	0.000;0.000;14.735;0.000;0.000;0.000;0.000;0.000;0.000	17	0.949	0	0.000	0.000	0.277	1	14.735
YHR132C|Spar_8;348720;348651|348660,AAG	2;2;0;0;69;350;496;468;864;734;1975	1.092;2.000;0.000;0.000;29.439;235.236;313.750;467.405;383.984	734	40.957	1975	139.008	3.394	0.903	7	1432.906
YDR027C|chrIV;497441;497318|WT	39;83;7950;29236;2683;768;562;7;10;15242;9043	21.297;83.000;5324.547;15220.903;1144.689;516.174;355.499;6.991;4.444	15242	850.509	9043	636.481	0.748	0.403	9	22677.544
YER099C|chrV;359080;359061|WT	0;0;0;4;16;42;14;12;3;22;0	0.000;0.000;0.000;2.082;6.826;28.228;8.856;11.985;1.333	22	1.228	0	0.000	0.000	0.767	6	59.31
YIL085C|Spar_9;183659;183629|183640,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YOR045W|chrXV;413794;413851|413795,AAG	1;0;0;0;0;0;5;3;230;73;195	0.546;0.000;0.000;0.000;0.000;0.000;3.163;2.996;102.218	73	4.073	195	13.725	3.370	0.986	4	108.923
YBR135W|Spar_2;477433;477483|WT	0;0;0;160;203;31;1;0;1;161;541	0.000;0.000;0.000;83.300;86.609;20.835;0.633;0.000;0.444	161	8.984	541	38.078	4.238	0.526	5	191.821
YOR261C|Spar_15;757597;757520|WT	3;2;1;0;2;1;268;482;558;243;458	1.638;2.000;0.670;0.000;0.853;0.672;169.526;481.388;247.990	243	13.559	458	32.236	2.377	0.949	8	904.737
YCR096C|chrIII;293680;293538|293606,293525,AAG	44;1262;2533;347;3;4;1;9;1;2076;1906	24.027;1262.000;1696.488;180.656;1.280;2.688;0.633;8.989;0.444	2076	115.842	1906	134.152	1.158	0.207	9	3177.205
YBR016W|Spar_2;241994;242030|WT	0;1;6;39;95;58;0;1;1;55;0	0.000;1.000;4.019;20.304;40.531;38.982;0.000;0.999;0.444	55	3.069	0	0.000	0.000	0.581	7	106.279
YCR100C|chrIII;302376;302221|302238,AAG	2445;168;45;317;0;0;0;0;0;659;52	1335.155;168.000;30.139;165.037;0.000;0.000;0.000;0.000;0.000	659	36.772	52	3.660	0.100	0.068	4	1698.331
