Constructs	TotalFacsReads_R1	TotalFacsReads_R2	TotalFacsReads_R3	AverageFacsReads
YLR389C|chrXII;902706;902660|WT	100.104	61.134	80.255	80.49766666666666
YPR072W|chrXVI;690005;690106|690083,690149,WT,CGACGA	749.321	708.678	913.863	790.6206666666667
YGL007C-A|Spar_7;479766;479603|479746,AAG	62.63	53.22	74.092	63.314
YBR060C|chrII;362616;362514|WT	70.379	35.885	27.495	44.586333333333336
YDR006C|chrIV;461353;461247|WT	26.44	34.992	12.466	24.632666666666665
YLR215C|chrXII;571890;571858|WT	135.828	157.147	62.514	118.49633333333334
YNL063W|Spar_14;493200;493299|493263,AAG	4163.94	3063.17	2506.135	3244.4149999999995
YNL261W|Spar_14;138449;138522|WT	2382.289	1386.021	1669.405	1812.5716666666667
YPL084W|Spar_16;418995;419048|WT	1355.134	1263.703	796.549	1138.462
YDR397C|Spar_4;1232598;1232517|1232544,AAG	269.034	440.181	367.378	358.86433333333326
YLR227C|Spar_12;557455;557318|557365,AAG	34.0	28.812	13.871	25.560999999999996
YML071C|chrXIII;131633;131572|131615,131573,ATG	292.893	259.088	158.372	236.78433333333336
YGR270W|Spar_7;992378;992494|WT	15.66	3.107	13.54	10.769
YIL084C|chrIX;203279;203259|WT	33.15	38.649	9.803	27.200666666666667
YDR313C|chrIV;1090142;1090079|WT	456.504	531.042	451.121	479.55566666666664
YGL137W|Spar_7;249093;249125|WT	517.699	496.518	576.996	530.4043333333333
YIL039W|chrIX;278399;278425|278406,278425,ATG	166.807	103.6	95.664	122.02366666666666
YBR121C|chrII;483431;483367|483396,483363,WT,CGACGA	407.485	672.711	567.662	549.286
YDR044W|Spar_4;545077;545144|WT	868.433	1246.765	626.513	913.9036666666667
YGL147C|chrVII;228346;228329|WT	1689.496	545.78	396.466	877.2473333333332
YJL044C|Spar_10;359775;359812|WT	67.91	71.037	43.155	60.70066666666667
YML021C|Spar_13;218913;218859|218869,AAG	473.084	583.845	376.02	477.6496666666667
YLR121C|Spar_12;373413;373288|373387,AAG	2146.198	2548.646	2037.338	2244.0606666666667
YMR137C|chrXIII;545038;544963|WT	1104.147	736.103	801.885	880.7116666666667
YJL054W|Spar_10;323249;323257|WT	523.606	290.18	230.607	348.13100000000003
YLR134W|chrXII;410694;410722|WT	194.92	234.536	106.337	178.59766666666667
YBR043C|chrII;324071;323945|324043,324031,AAG	4513.671	4001.429	2864.731	3793.277
YEL036C|chrV;84684;84552|84612,84591,AAG,CGACGA	5520.356	4100.757	4818.626	4813.2463333333335
YBR133C|chrII;504407;504287|WT	24.854	27.807	13.865	22.17533333333333
YDR143C|chrIV;744044;743874|743916,743892,WT,CGACGA	86.255	76.928	24.038	62.407000000000004
YGR028W|Spar_7;532686;532833|WT	4014.335	3915.775	3143.113	3691.0743333333335
YPL246C|Spar_16;110150;110077|WT	3096.283	3553.056	2047.391	2898.91
YNL188W|Spar_14;270494;270566|WT	5690.72	5725.288	4036.689	5150.899
YEL072W|chrV;13685;13719|13696,13720,WT,CGACGA	1271.5	1535.555	612.306	1139.787
YIR029W|Spar_9;386336;386475|386398,AAG	1099.578	1602.408	1327.043	1343.0096666666666
YKR075W-A|chrXI;580096;580211|580201,AAG	297.367	96.669	472.914	288.98333333333335
YBR160W|chrII;559955;560077|560002,560062,AAG	153.339	230.27	286.031	223.21333333333337
YER151C|chrV;472482;472424|472474,472429,ATG	1.707	30.236	29.45	20.464333333333332
YGL240W|chrVII;48593;48612|WT	154.569	336.822	178.861	223.41733333333332
YOR217W|Spar_15;689625;689743|WT	27.957	36.26	37.442	33.88633333333333
YOR386W|Spar_15;1004906;1004917|WT	69.452	40.023	23.705	44.39333333333334
YPL137C|Spar_16;321945;321789|WT	38.842	77.696	63.976	60.17133333333334
YBR098W|chrII;441401;441514|441437,AAG	36.235	102.395	48.492	62.373999999999995
YLR120W-A|Spar_12;371604;371695|WT	54.358	26.481	8.726	29.855
YNL334C|chrXIV;12968;12876|12920,AAG	83.186	141.934	112.685	112.60166666666667
YML008C|Spar_13;241004;240973|WT	44.559	61.01	94.084	66.551
YOR087W|chrXV;487634;487706|WT	38.54	41.795	24.858	35.06433333333334
YDR027C|chrIV;497441;497318|497375,497351,WT,CGACGA	94.869	56.657	69.579	73.70166666666667
YPL024W|chrXVI;503395;503516|503512,AAG	59.144	60.573	51.792	57.16966666666667
YOR093C|Spar_15;490060;489916|489936,AAG	1149.364	1145.522	755.284	1016.7233333333334
YPL158C|chrXVI;254380;254310|254361,254346,ATG	54.712	8.347	57.255	40.10466666666667
YHL011C|chrVIII;81705;81616|81639,81616,AAG	106.842	46.421	9.139	54.13400000000001
YGR181W|Spar_7;825267;825328|WT	803.512	620.139	729.347	717.6659999999998
YLR034C|chrXII;212098;211933|211968,211872,WT,CGACGA	269.414	182.706	145.126	199.082
YMR132C|Spar_13;514846;514772|WT	8.223	16.837	3.243	9.434333333333333
YDR255C|chrIV;967830;967822|WT	24.304	15.643	14.701	18.216
YGR135W|Spar_7;737753;737805|WT	266.454	343.155	152.603	254.07066666666665
YKL053C-A|chrXI;339528;339442|339484,339475,ATG	2296.572	1135.095	713.695	1381.7873333333334
YNL216W|chrXIV;241605;241688|WT	320.16	268.759	318.273	302.3973333333334
YJL136C|Spar_10;149202;149150|WT	1143.32	967.203	860.307	990.2766666666666
YDL198C|chrIV;104656;104551|104619,104604,WT,CGACGA	2237.844	2724.159	1310.051	2090.6846666666665
YMR308C|chrXIII;892365;892221|WT	52.203	88.98	83.921	75.03466666666667
YNL163C|chrXIV;330138;330073|WT	981.382	1208.615	742.208	977.4016666666666
YPL223C|chrXVI;129187;129138|WT	79.606	147.348	35.377	87.44366666666667
YPL161C|chrXVI;246252;246220|WT	83.548	100.933	52.62	79.03366666666666
YNL032W|chrXIV;574377;574505|WT	118.327	45.566	88.529	84.14066666666666
YDR248C|Spar_4;933661;933602|933622,AAG	32.643	23.618	14.088	23.449666666666662
YDR071C|chrIV;589431;589402|589423,589411,AAG	5795.772	4401.162	5251.264	5149.399333333334
YDR508C|Spar_4;1446481;1446429|WT	1808.207	4304.815	3160.638	3091.22
YKL026C|chrXI;389994;389883|389972,389966,AAG	2455.219	3924.937	2492.723	2957.6263333333336
YCR005C|Spar_3;104423;104362|WT	4772.094	3275.696	4258.621	4102.137
YNR027W|chrXIV;674893;674922|WT	4880.114	7619.533	4220.666	5573.437666666668
YDR007W|Spar_4;469798;469825|WT	7513.46	4271.44	4375.231	5386.710333333333
YLR429W|Spar_12;935970;936017|WT	8399.207	7309.356	6759.215	7489.2593333333325
YML013W|chrXIII;244133;244148|WT	2857.093	2696.519	3440.797	2998.1363333333334
YNL054W|Spar_14;505313;505381|WT	3700.535	2745.778	1329.912	2592.0750000000003
YBL005W|chrII;217387;217469|WT	67.17	114.087	55.611	78.956
YEL019C|Spar_5;99981;99944|WT	227.644	150.148	133.624	170.472
YGL142C|chrVII;238131;238119|WT	4872.545	5103.314	3665.917	4547.258666666667
YHL002W|Spar_8;87659;87732|87680,AAG	3416.65	1489.954	1774.481	2227.028333333333
YML117W|chrXIII;34101;34242|34219,34315,ATG	1086.236	939.582	387.598	804.4720000000001
YPR147C|chrXVI;826605;826559|WT	2348.605	2289.911	1951.278	2196.598
YFR020W|Spar_6;220078;220231|220082,AAG	11166.679	9972.833	9817.838	10319.116666666667
YAL064C-A|Spar_8;522894;522989|522901,AAG	256.252	274.837	341.106	290.7316666666666
YJR001W|chrX;436745;436801|436769,436784,AAG	102.293	81.151	118.111	100.51833333333333
YPL038W|chrXVI;480435;480534|WT	122.766	115.019	86.18	107.98833333333334
YNL165W|chrXIV;323754;323831|WT	826.544	516.62	611.454	651.5393333333333
YLR383W|Spar_12;839824;839899|WT	1543.781	2022.136	1061.252	1542.3896666666667
YOR221C|chrXV;757610;757558|757583,757433,WT,CGACGA	2871.816	1778.03	2314.161	2321.3356666666664
YFR033C|chrVI;224875;224769|224816,224786,ATG	468.965	812.706	563.631	615.1006666666667
YNR059W|Spar_14;713445;713557|WT	70.939	22.867	17.888	37.23133333333333
YJL073W|chrX;303054;303180|WT	3069.289	2524.084	3354.833	2982.7353333333335
YMR012W|chrXIII;291005;291133|291085,291112,AAG,CGACGA	3697.797	3551.211	1792.35	3013.786
YPR029C|Spar_16;642072;642015|WT	2767.545	1997.757	1812.885	2192.729
YGL242C|Spar_7;47401;47345|WT	3071.607	3431.658	4534.13	3679.1316666666667
YIL126W|chrIX;117909;117991|WT	361.942	236.952	219.336	272.74333333333334
YKR055W|Spar_11;562622;562689|WT	507.64	994.792	823.602	775.3446666666667
YOR164C|chrXV;644352;644332|WT	1806.545	1267.284	958.027	1343.952
YPL133C|chrXVI;301358;301228|301346,301286,AAG,CGACGA	180.924	153.021	165.265	166.40333333333334
YOL083C-A|Spar_15;151072;150948|150960,AAG	83.0	54.344	22.03	53.12466666666666
YLR152C|Spar_12;428217;428068|428141,AAG	121.666	97.011	142.723	120.46666666666665
YDR438W|chrIV;1338210;1338273|1338226,AAG	25.48	25.656	16.877	22.670999999999996
YDR328C|Spar_4;1164186;1164147|WT	40.367	72.142	47.632	53.38033333333333
YLR423C|chrXII;973198;973170|WT	74.288	2.044	19.579	31.970333333333333
YHL004W|Spar_8;83893;83965|WT	228.265	331.149	181.016	246.80999999999997
YDR520C|Spar_4;1461571;1461455|WT	22.989	46.811	14.433	28.07766666666667
YDR440W|Spar_4;1320077;1320171|WT	8078.447	7979.073	8049.25	8035.59
YDR069C|chrIV;587782;587719|WT	4714.26	3116.322	4041.993	3957.525
YBR291C|chrII;784658;784572|784629,AAG	9587.461	10385.088	7057.268	9009.939
YGL038C|chrVII;426849;426804|WT	5932.528	6656.683	5516.66	6035.290333333333
YJR043C|chrX;517581;517513|WT	3537.866	2698.833	2818.216	3018.3050000000003
YLR345W|chrXII;820473;820510|WT	98.354	90.058	41.113	76.50833333333334
YMR083W|Spar_13;413846;413932|WT	3.555	24.845	4.622	11.007333333333333
YNL054W|chrXIV;526029;526085|WT	2737.135	2579.989	2184.636	2500.5866666666666
YOL058W|Spar_15;203542;203614|WT	534.387	167.948	831.332	511.2223333333333
YOR016C|chrXV;361222;361084|WT	1862.598	1393.627	782.524	1346.2496666666666
YOR314W-A|chrXV;904348;904457|WT	351.874	468.453	40.414	286.91366666666664
YDL206W|chrIV;90038;90175|90152,90170,ATG	53.688	67.883	43.859	55.14333333333334
YLR417W|chrXII;954922;955009|954981,955010,ATG	30.648	37.354	29.818	32.60666666666666
YOL097W-A|chrXV;136045;136219|136185,AAG	30.285	20.16	29.446	26.630333333333336
YJR048W|chrX;526288;526334|WT	284.787	448.57	587.719	440.3586666666667
YDR531W|chrIV;1498181;1498231|1498214,1498307,WT,CGACGA	401.085	345.191	56.602	267.626
YER015W|Spar_5;186533;186614|186563,AAG	1059.515	880.552	457.405	799.1573333333332
YLR274W|Spar_12;645384;645417|WT	1534.634	2198.882	1163.406	1632.3073333333334
YHR186C|Spar_8;460633;460555|460581,AAG	390.114	479.213	315.207	394.8446666666667
YIL112W|Spar_9;132496;132540|WT	28.574	4.16	8.497	13.743666666666668
YOR221C|chrXV;757610;757558|WT	550.248	583.702	710.163	614.7043333333334
YOR343C|chrXV;968535;968474|968504,AAG	526.277	676.552	254.568	485.79900000000004
YJL156C|chrX;129008;128952|129006,128976,ATG	35.497	33.791	63.264	44.184
YBR196C-A|chrII;614331;614173|614321,AAG	677.896	525.638	428.888	544.1406666666667
YDR126W|Spar_4;695025;695184|695169,AAG	142.453	95.186	49.421	95.68666666666667
YCL054W-A|chrIII;30874;30909|WT	63.497	80.257	55.221	66.325
YLR120W-A|chrXII;388580;388671|388586,AAG	3248.975	3014.981	2083.31	2782.422
YMR308C|chrXIII;892401;892221|892258,892231,ATG	821.773	1100.178	405.729	775.8933333333333
YOL140W|chrXV;58661;58758|WT	5429.383	5508.972	4827.126	5255.160333333333
YBL031W|Spar_2;141865;141899|WT	2062.134	1856.197	1340.552	1752.961
YLR340W|chrXII;805826;805886|805848,805863,AAG,CGACGA	5705.643	8389.31	6388.371	6827.774666666667
YOR359W|Spar_15;947922;947992|WT	1056.176	772.464	668.757	832.4656666666666
YDL074C|chrIV;326221;326149|WT	919.838	835.561	517.005	757.468
YKL212W|chrXI;34431;34542|WT	1033.982	880.004	319.27	744.4186666666666
YMR173W|Spar_13;590061;590095|WT	798.21	1246.003	1070.493	1038.2353333333333
YNL144C|Spar_14;339683;339565|WT	193.853	208.438	177.981	193.42399999999998
YHR129C|chrVIII;364228;364153|364227,364194,WT,CGACGA	244.407	201.25	115.401	187.01933333333332
YJL077W-A|chrX;294652;294798|WT	22.81	4.188	7.297	11.431666666666665
YNL207W|chrXIV;255255;255352|255293,255353,ATG	47.342	47.729	50.834	48.635
YGL136C|chrVII;253914;253859|253891,253855,AAG	362.158	390.887	155.293	302.77933333333334
YKL112W|Spar_11;236860;237027|WT	274.514	138.612	92.576	168.56733333333332
YBR098W|chrII;441444;441514|441467,AAG	253.058	321.388	258.317	277.5876666666666
YGR050C|chrVII;592519;592442|WT	15.03	51.594	50.177	38.93366666666666
YNL017C|chrXIV;602602;602476|602592,AAG	610.345	374.264	171.498	385.36899999999997
YNL090W|chrXIV;456419;456564|456529,456652,ATG	2946.92	3280.517	3133.629	3120.355333333333
YBL084C|chrII;69566;69445|WT	3237.685	3053.32	3261.113	3184.0393333333336
YHR058C|Spar_8;195702;195670|WT	3642.982	4925.851	2866.191	3811.674666666666
YBR199W|chrII;618815;618908|WT	2580.236	4666.632	4510.661	3919.176333333333
YGL143C|chrVII;236007;235958|WT	5909.131	5630.523	4272.121	5270.591666666667
YKR063C|chrXI;562303;562297|WT	6060.367	5717.798	5074.601	5617.5886666666665
YEL072W|chrV;13585;13719|WT	10948.04	11045.32	10986.787	10993.382333333333
YGR219W|chrVII;935888;936034|WT	8517.517	8166.006	6962.172	7881.8983333333335
YJL205C|Spar_10;41767;41596|41724,AAG	1753.345	1589.472	1052.416	1465.0776666666668
YKL154W|Spar_11;171531;171616|WT	2260.585	2047.586	1505.455	1937.8753333333334
YLR108C|chrXII;368184;368124|368171,368124,AAG,CGACGA	3372.105	2300.318	2040.736	2571.0530000000003
YLR314C|chrXII;764202;764137|WT	1014.659	2454.931	1343.03	1604.2066666666667
YMR201C|chrXIII;667120;667044|WT	1996.046	2172.978	1377.712	1848.9120000000003
YPL265W|chrXVI;40946;41042|41007,41043,AAG	2352.124	2357.316	1538.153	2082.531
YBR233W|chrII;683348;683427|683369,683399,AAG	1418.579	1069.698	1254.756	1247.6776666666667
YER044C|Spar_5;239388;239307|WT	1571.605	1533.162	1961.975	1688.914
YPL243W|chrXVI;88426;88516|WT	337.585	448.931	193.939	326.8183333333333
YHR165C|Spar_8;415554;415445|WT	235.81	251.719	116.675	201.40133333333333
YOL138C|chrXV;65421;65350|WT	156.888	109.431	157.751	141.35666666666668
YGL257C|Spar_7;16314;16212|WT	5615.284	6597.178	6552.686	6255.049333333333
YGR267C|chrVII;1025910;1025735|1025790,1025775,ATG	3299.433	4256.433	2415.148	3323.671333333333
YPR030W|chrXVI;627761;627879|627831,AAG	4094.226	4178.55	2163.059	3478.611666666666
YDL182W|Spar_4;137751;137915|137791,AAG	5224.195	5871.458	3700.267	4931.973333333332
YGL013C|chrVII;472433;472298|472419,472404,WT,CGACGA	2716.245	3824.454	2063.269	2867.9893333333334
YER062C|chrV;280748;280682|WT	4005.294	4165.978	3965.516	4045.596
YBR122C|chrII;484536;484503|WT	4391.746	5381.644	4751.329	4841.572999999999
YEL036C|chrV;84671;84552|84572,84552,WT,CGACGA	5349.315	3835.833	4098.03	4427.726
YDL176W|chrIV;141969;142096|WT	2945.693	1986.677	2452.973	2461.781
YHR155W|chrVIII;407015;407102|407031,407037,AAG	198.234	310.38	256.72	255.11133333333336
YGR255C|chrVII;1004035;1003962|WT	37.259	15.482	32.034	28.258333333333336
YHR048W|chrVIII;204475;204606|WT	1363.486	2079.761	1363.969	1602.4053333333334
YPL190C|chrXVI;187819;187725|187781,187637,ATG	1443.858	1256.199	1074.915	1258.3239999999998
YPR002W|Spar_16;577490;577621|WT	937.999	1216.733	817.569	990.7669999999999
YEL026W|Spar_5;80201;80318|WT	44.984	52.619	45.816	47.806333333333335
YLR220W|chrXII;576728;576824|576771,576837,AAG,CGACGA	885.109	760.041	621.114	755.4213333333333
YNR061C|chrXIV;743626;743540|743582,743558,WT,CGACGA	4.821	8.568	6.031	6.473333333333333
YBL107W-A:0|Spar_3;126277;126362|126327,AAG	149.801	97.978	325.827	191.202
YDR222W|Spar_4;885348;885451|WT	2246.697	1419.187	575.3	1413.728
YHR129C|chrVIII;364257;364153|364180,364168,AAG	749.855	1143.036	395.164	762.6850000000001
YNR027W|Spar_14;651387;651401|WT	2505.106	1993.895	1760.161	2086.3873333333336
YHR026W|chrVIII;160728;160843|160786,160816,ATG	2363.404	4184.327	2840.997	3129.5759999999996
YLR368W|chrXII;857473;857539|WT	2164.766	2938.329	2507.175	2536.7566666666667
YIL014W|chrIX;325954;326102|WT	1054.057	1201.095	1708.41	1321.1873333333333
YEL020C|Spar_5;99024;98955|WT	60.769	144.733	99.573	101.69166666666666
YER101C|chrV;361850;361794|WT	1791.408	3805.18	1800.631	2465.739666666667
YKL027W|Spar_11;400878;400950|WT	669.31	907.047	704.36	760.239
YPL043W|Spar_16;489575;489632|WT	3887.05	4766.542	5500.548	4718.046666666666
YGR288W|chrVII;1070222;1070292|WT	4554.059	4272.836	3951.216	4259.370333333333
YIL014W|chrIX;325928;326102|326042,AAG	4048.982	3953.301	4251.353	4084.545333333333
YOL075C|chrXV;193650;193542|193635,AAG	3570.298	3418.087	2789.926	3259.437
YCR025C|chrIII;163954;163856|WT	3969.837	4857.824	2714.663	3847.4413333333337
YDR126W|Spar_4;695025;695184|695030,AAG	4439.95	4172.397	4275.212	4295.853
YBR213W|Spar_2;630292;630351|630307,AAG	2750.837	2093.657	2584.341	2476.2783333333336
YHR135C|chrVIII;374431;374310|374390,374375,AAG	1794.327	1582.742	984.57	1453.8796666666667
YHR149C|chrVIII;396805;396659|396805,AAG	1554.656	1042.748	1169.842	1255.7486666666666
YPL165C|chrXVI;239093;239077|WT	1439.036	680.144	832.628	983.9360000000001
YHR050W|chrVIII;207489;207653|207604,207622,ATG	1042.07	1043.704	917.763	1001.179
YLR046C|chrXII;238964;238813|238899,AAG	9095.252	9556.784	7218.749	8623.595
YNL257C|Spar_14;147813;147755|WT	10279.03	8347.815	5389.323	8005.3893333333335
YAL041W|Spar_1;38121;38186|WT	4113.537	5057.163	2963.082	4044.5940000000005
YDR299W|Spar_4;1103788;1103846|WT	167.015	195.7	146.531	169.74866666666665
YOR163W|chrXV;642703;642740|WT	1692.079	2189.32	1334.087	1738.4953333333335
YLR098C|chrXII;339627;339473|339581,AAG	130.937	55.723	81.773	89.47766666666666
YIR002C|chrIX;360479;360396|WT	2554.375	2673.293	1575.534	2267.734
YCR025C|chrIII;164006;163856|WT	1314.899	939.929	1103.1	1119.3093333333334
YFR030W|Spar_6;240227;240318|240258,AAG	41.409	33.332	28.296	34.345666666666666
YDR257C|chrIV;971497;971474|WT	1001.471	967.319	1248.045	1072.2783333333334
YNL272C|Spar_14;112654;112560|WT	280.234	324.556	517.49	374.0933333333333
YLR253W|chrXII;642553;642626|642599,642620,WT,CGACGA	1671.744	782.373	1179.594	1211.237
YBR132C|chrII;501594;501442|501580,501529,AAG	116.851	216.229	691.693	341.59100000000007
YJL031C|Spar_10;378072;378020|WT	380.507	263.75	69.847	238.03466666666668
YCR019W|chrIII;152710;152836|WT	70.851	77.261	147.047	98.38633333333333
YDR069C|Spar_4;586724;586589|WT	2886.218	2682.801	2643.536	2737.5183333333334
YBR283C|chrII;770544;770415|770479,770449,WT,CGACGA	2499.806	2027.0	1591.196	2039.334
YHL006C|Spar_8;83601;83561|WT	272.769	232.52	310.366	271.885
YBL086C|Spar_2;57944;57872|WT	207.743	100.854	125.436	144.67766666666668
YGR130C|Spar_7;730296;730247|WT	159.561	142.673	149.381	150.53833333333333
YJL180C|Spar_10;80158;80129|WT	1536.719	1628.368	1487.495	1550.8606666666667
YOR118W|chrXV;546697;546856|WT	1177.226	938.706	730.024	948.652
YOR378W|chrXV;1049462;1049510|WT	1110.201	1094.807	1424.787	1209.9316666666666
YOR016C|chrXV;361222;361084|361130,361084,ATG	1883.445	1861.338	1820.139	1854.974
YHR200W|Spar_8;478922;478951|WT	1769.688	1264.318	1344.174	1459.3933333333334
YGR074W|Spar_7;616408;616420|WT	100.209	187.416	78.102	121.90899999999999
YHR114W|chrVIII;337969;338082|338030,338108,AAG	595.898	841.741	605.84	681.1596666666668
YJL132W|Spar_10;153735;153751|153742,AAG	194.483	327.027	156.133	225.881
YEL033W|chrV;86159;86178|WT	1107.181	932.402	836.44	958.6743333333334
YLR099W-A|Spar_12;323348;323472|WT	1561.96	1452.495	1645.267	1553.2406666666666
YPR002W|Spar_16;577490;577621|577542,AAG	362.784	649.758	522.872	511.80466666666666
YDR027C|chrIV;497441;497318|497375,497351,AAG,CGACGA	1591.304	840.137	1067.325	1166.2553333333333
YHR129C|chrVIII;364228;364153|364195,364168,AAG,CGACGA	257.482	446.929	196.627	300.346
YBR043C|chrII;324071;323945|324009,AAG	214.945	262.6	229.075	235.54
YDR159W|chrIV;771783;771876|771833,771877,WT,CGACGA	245.098	378.934	164.25	262.7606666666667
YHR210C|chrVIII;521873;521737|521772,521754,ATG	1176.006	1481.937	787.394	1148.4456666666667
YNL064C|chrXIV;507247;507097|507169,507151,ATG	152.064	75.129	54.914	94.03566666666666
YOR161C|chrXV;638723;638558|WT	1451.425	2485.612	1514.322	1817.1196666666667
YAR031W|chrI;186696;186835|WT	935.339	2277.081	1764.531	1658.9836666666667
YER015W|Spar_5;186533;186614|186550,AAG	1376.347	740.001	2304.302	1473.55
YKL095W|chrXI;262111;262276|262257,262284,ATG	753.563	1154.232	751.691	886.4953333333333
YPR125W|chrXVI;787844;787960|787890,787911,WT,CGACGA	629.942	1208.458	613.596	817.332
YBR150C|Spar_2;517087;517024|517032,AAG	673.021	270.617	264.83	402.82266666666663
YDR379W|Spar_4;957497;957440|957450,AAG	162.203	258.54	34.412	151.71833333333333
YDR501W|Spar_4;1429042;1429134|1429109,AAG	140.19	112.456	46.257	99.63433333333334
YEL036C|chrV;84697;84552|84612,84591,WT,CGACGA	398.603	408.153	207.235	337.997
YER037W|Spar_5;227143;227175|WT	1174.805	807.408	806.908	929.707
YFR045W|chrVI;241981;241997|WT	1366.446	1494.129	1308.75	1389.7749999999999
YGR287C|chrVII;1069073;1068991|WT	107.944	59.734	34.625	67.43433333333333
YHR091C|Spar_8;264368;264354|WT	136.529	154.394	185.95	158.95766666666665
YIL013C|chrIX;332535;332442|WT	183.622	74.773	118.688	125.69433333333332
YMR240C|Spar_13;699521;699388|WT	5645.687	4848.244	4058.378	4850.769666666667
YOR384W|chrXV;1061469;1061563|1061490,AAG	1127.625	1229.858	972.518	1110.0003333333334
YPL221W|Spar_16;157843;157863|WT	83.366	61.639	55.343	66.78266666666667
YAR008W|chrI;158863;158965|158888,158918,AAG	863.746	993.764	1559.481	1138.997
YML051W|chrXIII;171520;171593|WT	972.301	983.705	981.397	979.1343333333334
YOL075C|chrXV;193650;193542|193641,AAG	895.394	902.479	853.933	883.9353333333333
YDL200C|Spar_4;106892;106752|106888,AAG	6478.16	5675.444	8453.553	6869.052333333333
YGL090W|chrVII;343246;343318|343295,343331,WT,CGACGA	788.673	879.315	533.433	733.8070000000001
YDL067C|chrIV;334442;334396|WT	12247.095	12088.53	9058.628	11131.417666666666
YHR192W|chrVIII;486790;486825|WT	12737.906	15837.939	11066.79	13214.211666666668
YNL063W|Spar_14;493186;493299|493263,AAG	9476.169	9112.156	6285.897	8291.407333333334
YGR057C|chrVII;605556;605501|605526,605502,WT,CGACGA	35.396	24.808	11.729	23.977666666666664
YDR248C|Spar_4;933673;933602|WT	2077.069	1579.01	1964.767	1873.6153333333332
YJR130C|chrX;667199;667137|WT	5447.642	4757.668	4764.037	4989.782333333334
YLR174W|chrXII;504508;504590|WT	4114.921	3605.89	3168.12	3629.643666666667
YJR098C|Spar_10;591457;591394|WT	1495.398	1078.841	919.54	1164.5929999999998
YOL014W|chrXV;299558;299692|299578,299599,AAG,CGACGA	4046.346	2946.942	2788.586	3260.6246666666666
YLR453C|Spar_12;988074;988021|WT	3164.662	2997.313	1634.692	2598.889
YGR166W|chrVII;830434;830514|830464,830494,WT,CGACGA	817.464	848.491	363.52	676.4916666666667
YML068W|chrXIII;137489;137549|137490,AAG	90.458	100.392	49.156	80.002
YOR102W|Spar_15;503681;503765|503719,AAG	15.692	37.82	35.398	29.636666666666667
YPR120C|chrXVI;775300;775182|775239,775185,ATG	6543.422	7266.323	4921.391	6243.7119999999995
YBR056W|chrII;347841;347878|WT	239.176	197.984	162.924	200.028
YDL110C|chrIV;265021;264964|WT	212.437	509.565	250.114	324.03866666666664
YKL196C|Spar_11;83761;83704|WT	2170.973	2893.041	2305.564	2456.526
YOR327C|chrXV;931164;931081|WT	2024.594	1808.598	1192.894	1675.362
YBR196C-A|chrII;614314;614173|614304,AAG	1567.478	1422.979	612.842	1201.0996666666667
YOL053W|chrXV;229940;230084|230012,AAG	14.287	18.638	5.435	12.786666666666669
YOL035C|chrXV;259258;259105|259258,AAG	1083.364	1308.698	1108.56	1166.874
YIR029W|Spar_9;386383;386475|386398,AAG	235.704	44.654	202.029	160.79566666666668
YBR260C|chrII;734648;734639|WT	73.567	74.126	33.618	60.43699999999999
YLR154W-B|chrXII;454336;454391|WT	815.975	637.405	631.331	694.9036666666667
YJL144W|Spar_10;138229;138262|WT	348.552	981.516	160.978	497.01533333333333
YJR135C|Spar_10;655367;655332|WT	813.357	993.275	356.186	720.9393333333334
YBR276C|chrII;760138;760043|760086,760053,AAG,CGACGA	727.919	611.99	759.422	699.777
YDL176W|Spar_4;146390;146544|146442,AAG	683.29	255.297	379.824	439.4703333333334
YJR040W|chrX;507690;507745|507709,AAG	70.744	136.01	134.167	113.64033333333333
YPL188W|chrXVI;191389;191405|WT	9440.381	9934.419	8035.786	9136.862
YEL044W|Spar_5;47602;47680|WT	1457.657	1489.898	1649.961	1532.5053333333333
YBR105C|chrII;452009;451969|451987,451972,AAG,CGACGA	6537.7	6405.232	4762.179	5901.703666666667
YML013W|Spar_13;232098;232127|232099,AAG	5388.018	6606.893	5820.933	5938.614666666667
YMR001C|chrXIII;271267;271136|271207,271153,ATG	5921.377	6879.559	5887.967	6229.634333333334
YGR166W|chrVII;830434;830514|WT	581.512	874.062	470.432	642.0020000000001
YHL032C|chrVIII;38587;38508|WT	7340.36	6850.633	6014.431	6735.141333333333
YOR221C|chrXV;757610;757558|757583,757433,ATG	964.909	638.55	775.917	793.1253333333333
YHR170W|chrVIII;443748;443827|WT	10809.448	12311.863	10425.056	11182.122333333333
YJR133W|Spar_10;651507;651539|WT	14849.1	15391.192	13714.937	14651.743
YKL203C|chrXI;63366;63359|63366,AAG	1477.372	718.348	846.193	1013.9710000000001
YNL335W|chrXIV;11325;11451|11369,AAG	791.264	732.373	315.547	613.0613333333334
YMR076C|chrXIII;420120;420029|WT	684.133	932.202	727.764	781.3663333333334
YDR164C|Spar_4;774477;774425|WT	1009.759	928.633	658.654	865.6820000000001
YHR135C|chrVIII;374431;374310|374344,374310,WT,CGACGA	814.451	321.624	597.633	577.9026666666667
YFL013C|chrVI;109953;109930|WT	4341.496	5585.764	4156.011	4694.423666666667
YIL027C|chrIX;304147;304104|WT	3937.446	3252.114	2021.048	3070.2026666666666
YOR081C|chrXV;479225;479188|WT	768.944	850.135	1231.706	950.2616666666667
YDR109C|chrIV;675807;675667|675792,675667,ATG	286.411	261.818	349.107	299.112
